n,T,t,p_j
70,191,5,"[19, 3, 13, 23, 41, 7, 3, 43, 12, 4, 32, 27, 31, 8, 35, 20, 50, 50, 20, 33, 21, 4, 34, 50, 25, 28, 34, 15, 17, 45, 43, 6, 25, 6, 27, 32, 36, 2, 20, 39, 26, 35, 1, 32, 49, 49, 33, 40, 39, 39, 10, 3, 32, 18, 47, 31, 10, 14, 40, 31, 33, 5, 12, 26, 21, 8, 30, 25, 18, 32]"
70,150,10,"[38, 20, 46, 48, 41, 12, 49, 12, 1, 47, 40, 17, 15, 18, 9, 30, 6, 43, 3, 19, 4, 34, 7, 24, 30, 30, 22, 33, 38, 43, 5, 19, 12, 16, 7, 50, 48, 47, 48, 12, 49, 11, 28, 27, 14, 27, 12, 43, 33, 5, 36, 11, 38, 30, 22, 39, 10, 9, 11, 31, 26, 24, 48, 28, 43, 15, 13, 43, 36, 7]"
70,188,17,"[25, 30, 23, 29, 5, 11, 4, 46, 6, 13, 18, 10, 4, 31, 38, 34, 16, 3, 12, 23, 4, 4, 24, 9, 48, 27, 2, 42, 16, 14, 40, 25, 42, 40, 50, 34, 27, 6, 2, 44, 9, 27, 13, 9, 9, 46, 46, 42, 21, 35, 1, 47, 17, 39, 24, 45, 46, 15, 35, 29, 31, 45, 42, 30, 40, 39, 11, 8, 20, 22]"
70,166,11,"[20, 35, 14, 4, 5, 9, 9, 20, 19, 29, 16, 13, 16, 12, 11, 31, 18, 36, 20, 19, 50, 28, 3, 11, 18, 26, 14, 47, 6, 35, 20, 27, 25, 45, 48, 38, 47, 40, 31, 16, 44, 10, 25, 36, 3, 2, 39, 31, 29, 6, 7, 24, 39, 28, 39, 25, 26, 2, 41, 9, 50, 9, 30, 18, 1, 25, 5, 31, 41, 50]"
70,177,12,"[29, 14, 16, 37, 33, 49, 29, 12, 48, 16, 10, 40, 10, 45, 13, 36, 19, 17, 11, 38, 1, 24, 39, 47, 50, 6, 49, 44, 25, 12, 42, 29, 41, 49, 16, 39, 7, 43, 32, 40, 39, 33, 16, 43, 26, 17, 13, 30, 20, 25, 9, 30, 38, 8, 37, 21, 34, 50, 29, 44, 17, 33, 27, 37, 37, 47, 41, 36, 34, 8]"
70,152,14,"[21, 10, 18, 19, 32, 42, 39, 17, 12, 5, 43, 11, 6, 38, 35, 6, 4, 50, 9, 31, 13, 19, 1, 30, 10, 41, 5, 24, 28, 17, 32, 35, 39, 4, 30, 18, 28, 40, 21, 49, 15, 41, 31, 42, 3, 46, 19, 29, 26, 35, 41, 34, 18, 3, 20, 1, 48, 2, 17, 34, 50, 17, 43, 24, 31, 34, 30, 27, 21, 41]"
70,189,7,"[49, 4, 2, 45, 4, 18, 22, 48, 46, 47, 40, 43, 32, 16, 15, 12, 9, 27, 15, 11, 4, 21, 37, 45, 8, 10, 26, 11, 39, 35, 1, 38, 41, 27, 3, 23, 24, 42, 45, 11, 15, 29, 36, 25, 30, 16, 34, 41, 18, 14, 7, 2, 24, 22, 1, 12, 9, 8, 49, 36, 49, 15, 38, 43, 38, 20, 45, 3, 36, 25]"
70,150,17,"[24, 35, 47, 8, 5, 20, 12, 1, 47, 8, 14, 13, 14, 24, 32, 15, 12, 15, 20, 1, 21, 10, 23, 43, 46, 11, 30, 7, 40, 9, 5, 49, 10, 12, 28, 13, 7, 36, 12, 34, 19, 50, 31, 3, 37, 9, 11, 5, 31, 38, 27, 37, 18, 23, 19, 37, 17, 43, 37, 34, 30, 17, 21, 12, 42, 30, 21, 13, 33, 43]"
70,196,10,"[46, 15, 45, 19, 48, 18, 10, 19, 24, 25, 9, 3, 4, 15, 13, 21, 8, 42, 14, 6, 29, 42, 44, 42, 50, 18, 18, 31, 29, 25, 22, 15, 49, 45, 28, 39, 18, 33, 41, 20, 27, 20, 28, 5, 30, 6, 4, 37, 8, 24, 24, 35, 28, 45, 23, 6, 32, 8, 34, 35, 19, 8, 50, 25, 16, 32, 15, 50, 19, 9]"
70,191,7,"[42, 37, 13, 44, 44, 34, 32, 35, 24, 4, 14, 10, 47, 37, 45, 25, 32, 45, 18, 41, 40, 2, 5, 38, 11, 46, 20, 35, 8, 19, 21, 27, 50, 14, 19, 23, 14, 40, 29, 4, 28, 22, 48, 41, 11, 31, 13, 30, 49, 40, 15, 33, 32, 36, 17, 13, 12, 16, 24, 48, 35, 19, 2, 22, 21, 33, 33, 47, 16, 47]"
70,187,15,"[34, 29, 10, 33, 50, 6, 6, 43, 34, 47, 8, 50, 36, 42, 45, 29, 3, 26, 20, 40, 3, 22, 21, 8, 41, 41, 29, 24, 8, 38, 20, 26, 49, 11, 5, 28, 15, 7, 8, 14, 38, 43, 15, 16, 9, 14, 34, 38, 8, 29, 29, 7, 34, 22, 22, 26, 8, 28, 3, 5, 32, 9, 10, 43, 29, 34, 47, 6, 7, 22]"
70,154,18,"[41, 34, 45, 41, 10, 24, 39, 12, 42, 20, 28, 9, 36, 44, 34, 29, 46, 46, 12, 4, 35, 48, 23, 20, 42, 25, 1, 38, 33, 47, 45, 33, 22, 28, 10, 40, 7, 39, 48, 22, 40, 42, 35, 15, 21, 11, 11, 44, 39, 24, 22, 13, 22, 33, 49, 39, 10, 11, 34, 23, 33, 42, 2, 27, 5, 27, 25, 32, 7, 24]"
70,170,8,"[27, 44, 6, 41, 44, 14, 17, 7, 37, 16, 19, 2, 25, 24, 14, 3, 34, 37, 18, 37, 14, 37, 24, 31, 23, 40, 28, 16, 49, 12, 13, 30, 38, 47, 21, 28, 16, 23, 49, 32, 41, 14, 9, 12, 5, 19, 43, 47, 41, 10, 36, 12, 35, 14, 35, 23, 13, 30, 24, 26, 22, 39, 25, 18, 26, 6, 39, 1, 27, 35]"
70,186,7,"[49, 19, 43, 24, 46, 45, 17, 20, 28, 35, 44, 11, 8, 10, 27, 32, 39, 36, 9, 25, 29, 3, 2, 47, 27, 9, 47, 49, 32, 3, 50, 26, 3, 7, 43, 14, 37, 45, 35, 41, 43, 9, 35, 40, 9, 46, 9, 26, 30, 38, 43, 24, 10, 21, 35, 15, 44, 31, 50, 28, 3, 5, 36, 33, 22, 34, 13, 6, 28, 27]"
70,151,16,"[35, 2, 21, 45, 16, 20, 39, 24, 19, 4, 49, 31, 38, 30, 36, 2, 46, 45, 33, 23, 32, 8, 35, 10, 3, 23, 49, 23, 15, 28, 50, 17, 44, 9, 23, 42, 41, 28, 41, 43, 25, 45, 44, 19, 42, 41, 45, 48, 37, 29, 11, 28, 49, 44, 6, 42, 22, 28, 22, 37, 32, 43, 6, 11, 10, 7, 26, 37, 29, 36]"
70,192,8,"[6, 37, 28, 38, 35, 14, 8, 15, 12, 27, 36, 41, 41, 44, 11, 24, 49, 41, 30, 4, 22, 2, 4, 41, 10, 29, 46, 4, 10, 19, 36, 22, 36, 25, 7, 28, 7, 34, 19, 49, 50, 8, 8, 47, 48, 26, 32, 45, 6, 49, 5, 2, 19, 2, 16, 16, 32, 31, 36, 13, 18, 14, 21, 26, 34, 13, 41, 10, 42, 1]"
70,154,11,"[48, 36, 13, 8, 10, 31, 39, 42, 40, 16, 19, 4, 47, 22, 24, 35, 33, 9, 9, 50, 12, 17, 11, 8, 22, 16, 50, 9, 5, 45, 16, 29, 47, 35, 29, 35, 13, 32, 17, 35, 2, 48, 17, 44, 19, 45, 21, 25, 24, 10, 44, 47, 41, 46, 31, 49, 11, 16, 1, 7, 10, 17, 40, 15, 12, 19, 18, 39, 50, 6]"
70,186,8,"[27, 48, 34, 49, 49, 25, 49, 5, 21, 34, 34, 35, 3, 18, 17, 25, 44, 37, 16, 3, 38, 12, 47, 5, 5, 3, 6, 23, 21, 15, 48, 24, 32, 8, 31, 9, 21, 41, 39, 18, 13, 19, 25, 43, 27, 33, 25, 1, 5, 10, 15, 48, 15, 44, 47, 24, 6, 25, 28, 40, 20, 23, 39, 43, 16, 14, 25, 32, 41, 2]"
70,150,11,"[48, 7, 28, 8, 39, 27, 33, 46, 18, 12, 16, 29, 10, 5, 7, 39, 46, 47, 49, 31, 20, 36, 26, 50, 50, 34, 47, 32, 24, 39, 34, 23, 35, 18, 21, 10, 47, 47, 45, 37, 16, 21, 29, 16, 10, 29, 38, 3, 23, 28, 29, 36, 28, 25, 50, 26, 31, 40, 12, 43, 12, 21, 33, 13, 3, 27, 48, 43, 12, 31]"
70,197,19,"[7, 4, 28, 39, 27, 7, 24, 45, 48, 25, 11, 40, 3, 45, 29, 34, 25, 26, 15, 8, 47, 22, 11, 5, 12, 29, 50, 2, 32, 49, 24, 32, 28, 22, 16, 8, 10, 11, 33, 19, 23, 26, 3, 33, 11, 25, 6, 4, 17, 7, 6, 43, 41, 4, 4, 3, 30, 12, 50, 35, 45, 39, 13, 19, 10, 47, 48, 39, 1, 41]"
70,177,5,"[25, 18, 14, 18, 2, 40, 30, 28, 48, 39, 46, 8, 41, 5, 11, 40, 38, 15, 10, 1, 23, 40, 16, 29, 31, 50, 14, 31, 30, 18, 42, 44, 17, 33, 7, 45, 2, 44, 15, 14, 44, 46, 34, 22, 21, 39, 31, 44, 37, 5, 50, 2, 6, 35, 2, 47, 18, 37, 18, 46, 33, 39, 33, 38, 8, 31, 20, 42, 18, 1]"
70,196,15,"[18, 31, 30, 21, 24, 41, 50, 39, 2, 33, 29, 26, 36, 46, 7, 30, 18, 37, 37, 8, 15, 26, 36, 14, 45, 18, 1, 20, 26, 37, 24, 36, 25, 40, 20, 22, 23, 14, 12, 44, 35, 27, 48, 1, 12, 12, 27, 12, 34, 39, 3, 29, 40, 2, 45, 34, 48, 43, 12, 17, 27, 33, 1, 20, 30, 17, 31, 35, 46, 48]"
70,200,9,"[7, 48, 19, 29, 45, 22, 11, 3, 8, 40, 27, 32, 31, 7, 30, 15, 41, 2, 22, 8, 13, 41, 38, 43, 15, 42, 17, 17, 16, 32, 47, 3, 37, 37, 41, 49, 6, 32, 16, 24, 30, 17, 41, 28, 37, 46, 19, 13, 20, 45, 16, 46, 28, 11, 36, 50, 45, 25, 4, 14, 35, 3, 4, 50, 43, 23, 24, 34, 20, 1]"
70,185,18,"[22, 48, 43, 24, 9, 9, 30, 17, 17, 30, 29, 6, 24, 14, 29, 19, 9, 48, 3, 39, 47, 41, 2, 1, 50, 33, 21, 23, 29, 7, 32, 47, 39, 24, 33, 6, 9, 45, 25, 46, 8, 39, 36, 48, 27, 11, 18, 39, 38, 37, 5, 5, 15, 25, 35, 7, 18, 43, 16, 34, 34, 25, 37, 7, 2, 25, 30, 25, 31, 21]"
70,167,19,"[18, 48, 28, 29, 30, 25, 14, 20, 6, 18, 48, 36, 19, 22, 35, 39, 6, 21, 30, 18, 22, 27, 11, 1, 8, 17, 16, 29, 9, 38, 21, 11, 39, 22, 49, 15, 30, 40, 15, 6, 35, 36, 23, 15, 30, 33, 2, 35, 14, 8, 31, 46, 10, 35, 48, 23, 25, 44, 22, 45, 5, 19, 40, 32, 25, 27, 14, 11, 24, 14]"
70,175,6,"[40, 15, 22, 6, 10, 1, 40, 29, 29, 30, 27, 24, 47, 20, 15, 42, 26, 19, 16, 38, 2, 12, 34, 44, 45, 5, 37, 5, 21, 37, 16, 24, 13, 47, 5, 47, 30, 48, 8, 46, 21, 10, 18, 33, 18, 49, 18, 15, 16, 17, 39, 43, 28, 20, 12, 2, 8, 39, 49, 5, 31, 11, 9, 10, 31, 43, 47, 13, 36, 46]"
70,167,8,"[39, 48, 25, 6, 34, 24, 4, 44, 29, 15, 18, 37, 31, 36, 10, 12, 40, 31, 7, 26, 11, 20, 4, 46, 12, 43, 19, 36, 15, 35, 38, 48, 23, 27, 23, 23, 37, 16, 43, 9, 10, 26, 46, 15, 8, 27, 12, 24, 49, 35, 50, 17, 14, 33, 39, 20, 3, 8, 17, 35, 38, 39, 11, 35, 46, 5, 31, 15, 40, 42]"
70,153,19,"[39, 3, 45, 7, 21, 48, 47, 21, 20, 12, 20, 5, 37, 46, 41, 9, 20, 7, 28, 28, 36, 11, 14, 32, 12, 39, 41, 15, 15, 42, 23, 23, 50, 12, 5, 30, 46, 36, 14, 14, 30, 4, 14, 16, 45, 30, 18, 49, 24, 49, 9, 3, 20, 44, 2, 4, 32, 46, 19, 36, 23, 20, 13, 8, 2, 32, 30, 30, 5, 16]"
70,155,13,"[47, 27, 38, 48, 15, 33, 22, 42, 10, 26, 49, 23, 18, 45, 40, 33, 3, 43, 22, 27, 29, 46, 34, 50, 47, 16, 4, 16, 1, 43, 12, 9, 42, 25, 32, 36, 22, 1, 42, 44, 24, 27, 27, 33, 43, 45, 14, 45, 13, 32, 3, 12, 30, 1, 44, 44, 31, 3, 22, 38, 45, 39, 44, 24, 40, 47, 31, 30, 5, 19]"
70,195,15,"[31, 49, 3, 36, 34, 23, 17, 17, 7, 3, 13, 5, 21, 47, 22, 5, 14, 13, 14, 45, 37, 27, 16, 43, 11, 49, 40, 4, 19, 42, 32, 50, 30, 21, 45, 23, 45, 48, 37, 44, 3, 5, 34, 47, 18, 16, 38, 12, 18, 1, 44, 4, 47, 5, 44, 21, 1, 34, 22, 28, 27, 30, 17, 15, 29, 15, 28, 33, 22, 43]"
70,198,7,"[36, 17, 21, 47, 4, 21, 15, 37, 29, 22, 15, 24, 48, 36, 41, 26, 26, 21, 46, 19, 44, 5, 23, 49, 22, 23, 50, 11, 26, 37, 8, 49, 15, 14, 47, 25, 33, 48, 36, 25, 21, 30, 21, 30, 6, 38, 50, 10, 10, 18, 7, 36, 25, 41, 33, 47, 1, 22, 21, 32, 4, 23, 39, 40, 48, 17, 28, 34, 5, 16]"
80,186,19,"[43, 8, 48, 17, 2, 39, 8, 15, 4, 44, 45, 11, 28, 26, 29, 8, 44, 45, 3, 2, 28, 47, 14, 44, 11, 30, 45, 6, 35, 37, 34, 4, 4, 45, 40, 19, 33, 21, 16, 12, 26, 38, 24, 19, 12, 44, 31, 20, 3, 44, 45, 7, 1, 39, 49, 34, 21, 23, 15, 24, 31, 23, 46, 8, 12, 37, 38, 22, 8, 32, 16, 7, 1, 26, 43, 41, 31, 36, 42, 31]"
80,155,5,"[23, 5, 4, 49, 41, 43, 27, 4, 31, 23, 5, 25, 34, 43, 3, 30, 6, 50, 49, 23, 10, 29, 44, 2, 37, 47, 2, 21, 19, 23, 21, 31, 17, 47, 22, 38, 29, 16, 11, 47, 4, 8, 19, 39, 21, 49, 32, 30, 12, 43, 47, 10, 25, 3, 48, 48, 12, 39, 17, 15, 27, 14, 30, 21, 20, 48, 45, 5, 17, 33, 6, 40, 9, 50, 7, 13, 47, 27, 14, 28]"
80,166,14,"[10, 10, 31, 49, 27, 29, 20, 10, 28, 24, 49, 12, 23, 22, 50, 22, 48, 11, 26, 45, 21, 25, 6, 44, 13, 14, 47, 1, 42, 49, 20, 38, 44, 7, 17, 50, 18, 10, 48, 28, 13, 42, 22, 37, 10, 12, 23, 9, 50, 21, 33, 11, 26, 1, 15, 5, 25, 12, 4, 32, 21, 20, 36, 28, 42, 8, 27, 29, 38, 42, 43, 3, 34, 50, 21, 22, 29, 11, 45, 29]"
80,198,13,"[3, 16, 32, 19, 18, 21, 33, 2, 43, 4, 23, 3, 6, 19, 44, 11, 12, 25, 33, 13, 30, 13, 11, 1, 9, 29, 47, 41, 13, 39, 33, 42, 7, 48, 26, 25, 25, 16, 13, 17, 26, 2, 6, 44, 50, 16, 15, 11, 35, 30, 25, 36, 45, 35, 30, 33, 14, 1, 17, 50, 46, 31, 36, 16, 26, 28, 40, 23, 11, 10, 20, 37, 24, 35, 35, 41, 29, 37, 13, 14]"
80,150,12,"[26, 4, 43, 15, 41, 35, 7, 40, 32, 1, 15, 17, 1, 7, 15, 9, 16, 49, 11, 33, 24, 12, 13, 14, 7, 38, 17, 28, 33, 42, 41, 7, 19, 13, 2, 17, 7, 39, 13, 39, 2, 22, 24, 21, 39, 32, 1, 6, 30, 41, 14, 12, 17, 49, 3, 48, 7, 5, 19, 33, 43, 13, 7, 40, 13, 11, 11, 22, 23, 13, 3, 1, 2, 42, 40, 8, 3, 45, 36, 7]"
80,178,14,"[13, 44, 46, 6, 21, 32, 39, 4, 28, 36, 7, 5, 26, 5, 28, 25, 46, 43, 27, 12, 37, 39, 28, 30, 28, 1, 11, 46, 29, 3, 4, 4, 25, 38, 12, 47, 27, 12, 19, 25, 21, 30, 34, 41, 25, 48, 11, 11, 44, 46, 49, 22, 24, 21, 13, 27, 26, 16, 38, 22, 12, 29, 10, 35, 8, 46, 7, 13, 33, 8, 42, 10, 16, 36, 12, 34, 18, 43, 33, 35]"
80,180,14,"[23, 28, 38, 29, 32, 25, 20, 18, 13, 39, 49, 21, 13, 16, 48, 16, 43, 12, 10, 47, 3, 47, 10, 14, 36, 14, 25, 5, 45, 28, 12, 41, 24, 41, 30, 4, 49, 44, 31, 47, 25, 44, 40, 24, 7, 49, 44, 33, 8, 19, 2, 30, 9, 5, 15, 15, 47, 29, 47, 31, 11, 34, 19, 8, 29, 41, 41, 13, 45, 42, 12, 18, 24, 44, 9, 45, 15, 15, 29, 49]"
80,199,14,"[22, 9, 4, 9, 9, 42, 28, 33, 13, 50, 44, 45, 8, 32, 49, 38, 44, 24, 21, 18, 35, 23, 38, 17, 21, 6, 38, 6, 13, 2, 15, 2, 27, 20, 32, 37, 16, 34, 48, 5, 12, 37, 17, 37, 28, 46, 39, 31, 33, 32, 14, 24, 36, 48, 37, 4, 40, 46, 40, 4, 45, 48, 37, 38, 7, 22, 25, 39, 15, 10, 29, 40, 16, 7, 14, 11, 11, 15, 23, 16]"
80,178,11,"[50, 47, 32, 21, 33, 12, 47, 34, 4, 26, 7, 49, 5, 28, 36, 49, 7, 9, 44, 7, 28, 38, 31, 10, 13, 18, 21, 18, 23, 21, 4, 19, 8, 30, 25, 6, 5, 37, 17, 32, 48, 22, 31, 41, 26, 8, 36, 17, 26, 31, 15, 33, 28, 28, 50, 18, 16, 25, 46, 6, 24, 25, 22, 23, 32, 23, 25, 50, 21, 13, 19, 22, 29, 2, 35, 12, 34, 20, 26, 30]"
80,158,11,"[4, 12, 15, 33, 36, 12, 44, 7, 23, 35, 27, 6, 33, 9, 28, 29, 19, 47, 8, 1, 44, 50, 27, 49, 4, 32, 13, 49, 49, 45, 25, 46, 27, 9, 10, 10, 3, 21, 15, 5, 39, 47, 2, 10, 33, 47, 50, 48, 33, 30, 21, 10, 31, 2, 46, 50, 44, 45, 7, 5, 49, 18, 16, 37, 1, 23, 12, 46, 6, 4, 31, 3, 18, 34, 26, 9, 37, 18, 12, 32]"
80,182,15,"[37, 4, 17, 42, 49, 21, 43, 23, 49, 6, 3, 21, 28, 10, 33, 22, 46, 11, 4, 41, 48, 14, 28, 44, 12, 39, 17, 21, 28, 18, 20, 47, 31, 45, 49, 21, 3, 42, 32, 24, 30, 28, 30, 21, 33, 40, 1, 33, 34, 39, 7, 3, 40, 5, 17, 33, 18, 13, 22, 10, 38, 32, 39, 39, 25, 20, 43, 8, 10, 38, 35, 5, 12, 29, 1, 35, 33, 7, 13, 20]"
80,153,9,"[30, 42, 14, 9, 27, 14, 29, 39, 41, 28, 41, 2, 12, 50, 16, 20, 46, 20, 35, 34, 46, 1, 44, 45, 5, 43, 42, 4, 38, 48, 25, 8, 14, 42, 42, 25, 37, 11, 10, 46, 48, 32, 46, 10, 25, 25, 13, 11, 37, 11, 1, 33, 43, 40, 35, 10, 39, 38, 40, 11, 5, 50, 36, 15, 43, 40, 48, 43, 4, 18, 2, 36, 11, 5, 48, 33, 15, 45, 9, 4]"
80,198,14,"[48, 19, 23, 30, 42, 29, 21, 38, 34, 13, 42, 48, 39, 33, 10, 27, 49, 50, 18, 36, 40, 36, 12, 19, 26, 2, 23, 41, 37, 7, 43, 18, 32, 20, 46, 22, 41, 45, 39, 8, 24, 23, 34, 7, 28, 16, 40, 3, 33, 48, 6, 17, 15, 48, 21, 48, 4, 41, 37, 34, 31, 21, 13, 47, 34, 45, 16, 22, 8, 36, 15, 3, 27, 14, 34, 31, 20, 12, 33, 4]"
80,168,13,"[35, 14, 12, 31, 45, 7, 42, 19, 7, 22, 18, 19, 23, 5, 11, 46, 41, 37, 49, 34, 41, 2, 41, 8, 44, 7, 48, 26, 49, 15, 44, 34, 28, 29, 21, 27, 6, 50, 41, 19, 31, 2, 31, 41, 16, 3, 29, 39, 40, 46, 11, 7, 21, 39, 34, 27, 19, 40, 31, 1, 50, 50, 7, 31, 41, 20, 12, 35, 18, 46, 11, 29, 42, 1, 27, 6, 36, 34, 18, 4]"
80,159,8,"[33, 6, 35, 2, 3, 33, 30, 39, 9, 25, 5, 23, 1, 3, 49, 31, 5, 6, 16, 13, 46, 34, 11, 42, 41, 8, 37, 7, 1, 33, 43, 18, 22, 1, 29, 48, 7, 25, 21, 45, 48, 39, 41, 19, 19, 16, 27, 4, 32, 47, 37, 2, 1, 38, 49, 27, 32, 13, 11, 13, 7, 23, 48, 42, 46, 40, 42, 42, 26, 3, 22, 49, 40, 28, 21, 41, 6, 26, 46, 18]"
80,187,5,"[12, 5, 45, 40, 34, 18, 4, 7, 32, 8, 16, 31, 44, 11, 10, 37, 47, 46, 8, 6, 25, 22, 39, 33, 37, 38, 17, 33, 21, 14, 17, 50, 13, 18, 42, 27, 18, 25, 15, 34, 39, 40, 46, 3, 5, 45, 10, 19, 22, 49, 44, 48, 35, 33, 20, 3, 35, 46, 45, 2, 7, 11, 9, 43, 3, 50, 49, 19, 25, 14, 49, 46, 21, 28, 39, 45, 32, 12, 5, 39]"
80,151,7,"[39, 10, 49, 35, 2, 28, 20, 10, 38, 39, 2, 6, 4, 14, 9, 36, 11, 14, 48, 32, 18, 14, 32, 9, 31, 10, 11, 28, 43, 39, 6, 13, 38, 50, 6, 10, 28, 17, 24, 21, 21, 26, 43, 31, 49, 5, 10, 25, 5, 10, 6, 34, 26, 41, 19, 14, 39, 39, 36, 44, 13, 34, 14, 3, 28, 4, 29, 1, 26, 28, 39, 23, 12, 38, 10, 46, 46, 8, 5, 35]"
80,153,16,"[27, 2, 2, 20, 46, 42, 41, 10, 34, 6, 11, 38, 47, 16, 2, 6, 14, 49, 17, 43, 44, 19, 6, 25, 42, 6, 18, 5, 33, 17, 11, 42, 46, 40, 23, 21, 45, 35, 1, 6, 8, 37, 4, 46, 42, 39, 26, 14, 18, 4, 29, 48, 20, 17, 2, 14, 35, 7, 12, 17, 31, 39, 28, 8, 38, 9, 14, 40, 12, 25, 16, 21, 15, 8, 3, 50, 24, 35, 9, 17]"
80,159,8,"[15, 4, 14, 44, 42, 17, 27, 41, 10, 34, 12, 10, 7, 33, 31, 38, 13, 7, 3, 29, 6, 46, 25, 1, 50, 17, 4, 49, 21, 19, 16, 44, 37, 23, 14, 27, 44, 44, 35, 28, 36, 44, 46, 21, 40, 36, 49, 35, 20, 45, 38, 10, 8, 19, 39, 22, 9, 34, 16, 36, 31, 27, 19, 23, 26, 26, 29, 27, 42, 48, 16, 30, 41, 4, 46, 38, 6, 32, 28, 10]"
80,183,12,"[16, 19, 38, 29, 43, 24, 4, 6, 46, 13, 10, 8, 31, 8, 8, 17, 47, 21, 9, 24, 12, 47, 14, 24, 47, 6, 30, 21, 23, 48, 24, 11, 18, 7, 41, 34, 33, 4, 45, 14, 34, 8, 31, 28, 14, 46, 39, 34, 25, 9, 38, 16, 44, 21, 44, 31, 29, 35, 50, 30, 21, 36, 35, 15, 46, 37, 47, 14, 29, 1, 39, 29, 47, 44, 44, 42, 5, 12, 23, 35]"
80,197,7,"[40, 22, 8, 23, 29, 9, 5, 36, 31, 48, 7, 49, 49, 28, 13, 29, 44, 36, 12, 37, 46, 48, 9, 38, 50, 13, 28, 18, 45, 9, 13, 33, 29, 43, 15, 45, 9, 39, 19, 4, 10, 9, 33, 7, 21, 44, 49, 20, 2, 23, 26, 49, 19, 31, 48, 20, 31, 13, 16, 14, 38, 8, 43, 22, 43, 2, 33, 32, 47, 47, 37, 4, 20, 37, 4, 11, 25, 48, 11, 48]"
80,178,7,"[20, 11, 20, 26, 22, 5, 4, 10, 35, 13, 25, 40, 10, 14, 25, 38, 13, 40, 17, 1, 21, 22, 38, 47, 16, 26, 1, 3, 22, 29, 50, 13, 31, 33, 38, 19, 48, 23, 43, 20, 15, 49, 16, 22, 19, 15, 41, 32, 36, 39, 20, 6, 43, 26, 40, 47, 25, 34, 47, 23, 39, 50, 25, 19, 10, 32, 24, 20, 15, 45, 14, 5, 20, 45, 45, 22, 6, 40, 22, 8]"
80,150,18,"[43, 11, 20, 34, 18, 3, 19, 36, 11, 4, 23, 21, 47, 15, 26, 4, 50, 36, 48, 31, 29, 3, 33, 1, 34, 2, 50, 38, 45, 45, 19, 25, 15, 13, 36, 28, 37, 22, 32, 29, 9, 15, 28, 3, 48, 17, 36, 39, 42, 4, 28, 48, 17, 9, 25, 7, 24, 35, 2, 13, 44, 33, 3, 16, 18, 35, 46, 8, 38, 35, 12, 33, 14, 10, 18, 39, 35, 7, 40, 9]"
80,159,7,"[10, 37, 28, 19, 41, 19, 23, 7, 3, 9, 2, 32, 28, 21, 21, 1, 34, 14, 43, 21, 33, 47, 50, 39, 1, 32, 8, 48, 8, 30, 48, 19, 13, 22, 43, 34, 30, 17, 45, 3, 42, 46, 19, 29, 49, 49, 22, 26, 32, 1, 42, 26, 30, 28, 7, 11, 37, 24, 46, 45, 4, 2, 49, 33, 12, 4, 24, 15, 42, 18, 48, 38, 47, 49, 27, 22, 24, 28, 11, 22]"
80,170,9,"[46, 42, 32, 40, 39, 33, 2, 5, 48, 15, 26, 33, 22, 38, 18, 28, 18, 4, 18, 36, 12, 23, 36, 14, 28, 34, 19, 19, 3, 42, 8, 20, 19, 24, 47, 16, 32, 13, 19, 34, 5, 42, 8, 29, 14, 1, 42, 33, 13, 22, 2, 34, 34, 42, 17, 29, 27, 18, 24, 11, 40, 39, 21, 49, 24, 44, 14, 10, 33, 50, 38, 28, 33, 43, 8, 4, 9, 18, 17, 30]"
80,192,17,"[7, 41, 1, 12, 38, 48, 23, 13, 1, 25, 47, 48, 4, 25, 10, 34, 21, 5, 32, 45, 32, 13, 8, 25, 30, 1, 1, 18, 16, 48, 15, 7, 36, 7, 37, 26, 34, 48, 40, 5, 4, 16, 31, 20, 34, 35, 37, 35, 19, 2, 46, 6, 10, 16, 48, 13, 38, 29, 4, 49, 4, 2, 8, 25, 41, 1, 32, 25, 40, 29, 10, 46, 25, 13, 22, 32, 11, 37, 39, 2]"
80,167,10,"[15, 38, 26, 13, 46, 4, 31, 42, 35, 29, 43, 43, 50, 33, 35, 29, 34, 33, 9, 15, 26, 4, 12, 48, 46, 37, 26, 45, 1, 22, 3, 17, 40, 33, 17, 38, 48, 50, 3, 16, 15, 32, 8, 39, 46, 31, 35, 44, 6, 47, 3, 13, 35, 34, 5, 43, 43, 14, 47, 45, 21, 12, 14, 14, 13, 31, 9, 24, 22, 30, 17, 28, 19, 33, 45, 20, 22, 30, 13, 41]"
80,178,8,"[45, 37, 21, 28, 41, 40, 37, 16, 32, 1, 15, 14, 8, 35, 45, 10, 43, 21, 36, 21, 23, 3, 46, 1, 50, 26, 2, 49, 22, 3, 11, 43, 15, 35, 18, 30, 15, 28, 11, 43, 48, 19, 12, 49, 27, 43, 23, 4, 6, 2, 33, 35, 42, 16, 5, 29, 46, 28, 28, 7, 11, 26, 31, 5, 5, 19, 4, 31, 18, 22, 38, 33, 21, 12, 5, 4, 37, 22, 35, 48]"
